model: alexnet
cpu2gpu_batch1	gpu_batch1	cpu2gpu_batch2	gpu_batch2	cpu2gpu_batch3	gpu_batch3	cpu2gpu_batch4	gpu_batch4	cpu2gpu_batch5	gpu_batch5	cpu2gpu_batch6	gpu_batch6	cpu2gpu_batch7	gpu_batch7	cpu2gpu_batch8	gpu_batch8	cpu2gpu_batch9	gpu_batch9	cpu2gpu_batch10	gpu_batch10	cpu2gpu_batch11	gpu_batch11	cpu2gpu_batch12	gpu_batch12	cpu2gpu_batch13	gpu_batch13	cpu2gpu_batch14	gpu_batch14	cpu2gpu_batch15	gpu_batch15	cpu2gpu_batch16	gpu_batch16	cpu2gpu_batch17	gpu_batch17	cpu2gpu_batch18	gpu_batch18	cpu2gpu_batch19	gpu_batch19	cpu2gpu_batch20	gpu_batch20	cpu2gpu_batch21	gpu_batch21	cpu2gpu_batch22	gpu_batch22	cpu2gpu_batch23	gpu_batch23	cpu2gpu_batch24	gpu_batch24	cpu2gpu_batch25	gpu_batch25	cpu2gpu_batch26	gpu_batch26	cpu2gpu_batch27	gpu_batch27	cpu2gpu_batch28	gpu_batch28	cpu2gpu_batch29	gpu_batch29	cpu2gpu_batch30	gpu_batch30	cpu2gpu_batch31	gpu_batch31	cpu2gpu_batch32	gpu_batch32	cpu2gpu_batch64	gpu_batch64	cpu2gpu_batch128	gpu_batch128	cpu2gpu_batch256	gpu_batch256	
0.000374079	0.008863449	0.000191689	0.008353233	0.000210285	0.009124517	0.000264168	0.010277987	0.000306368	0.011041880	0.000358582	0.011660099	0.000427961	0.013378859	0.000485420	0.015651226	0.000509501	0.013824940	0.000598431	0.015547514	0.000600815	0.015326977	0.000657797	0.016175270	0.000728846	0.020001173	0.000761032	0.018591404	0.000811577	0.019403934	0.000869751	0.019115448	0.002346754	0.020113945	0.000944376	0.023470163	0.001787424	0.021917820	0.001062870	0.022740602	0.002913237	0.023275614	0.001154900	0.023928642	0.001216650	0.024093390	0.001240492	0.024545193	0.001303434	0.025562286	0.001364946	0.027285099	0.001405001	0.027102947	0.001469374	0.029039621	0.001539469	0.029968739	0.001578569	0.030386448	0.001596928	0.029949903	0.001656055	0.031434774	0.003195286	0.055205107	0.006328821	0.104740143	0.012600183	0.203916788	

model: resnet18
cpu2gpu_batch1	gpu_batch1	cpu2gpu_batch2	gpu_batch2	cpu2gpu_batch3	gpu_batch3	cpu2gpu_batch4	gpu_batch4	cpu2gpu_batch5	gpu_batch5	cpu2gpu_batch6	gpu_batch6	cpu2gpu_batch7	gpu_batch7	cpu2gpu_batch8	gpu_batch8	cpu2gpu_batch9	gpu_batch9	cpu2gpu_batch10	gpu_batch10	cpu2gpu_batch11	gpu_batch11	cpu2gpu_batch12	gpu_batch12	cpu2gpu_batch13	gpu_batch13	cpu2gpu_batch14	gpu_batch14	cpu2gpu_batch15	gpu_batch15	cpu2gpu_batch16	gpu_batch16	cpu2gpu_batch17	gpu_batch17	cpu2gpu_batch18	gpu_batch18	cpu2gpu_batch19	gpu_batch19	cpu2gpu_batch20	gpu_batch20	cpu2gpu_batch21	gpu_batch21	cpu2gpu_batch22	gpu_batch22	cpu2gpu_batch23	gpu_batch23	cpu2gpu_batch24	gpu_batch24	cpu2gpu_batch25	gpu_batch25	cpu2gpu_batch26	gpu_batch26	cpu2gpu_batch27	gpu_batch27	cpu2gpu_batch28	gpu_batch28	cpu2gpu_batch29	gpu_batch29	cpu2gpu_batch30	gpu_batch30	cpu2gpu_batch31	gpu_batch31	cpu2gpu_batch32	gpu_batch32	cpu2gpu_batch64	gpu_batch64	cpu2gpu_batch128	gpu_batch128	cpu2gpu_batch256	gpu_batch256	
0.000666857	0.336697817	0.000325918	0.343008041	0.000379324	0.378576994	0.000516176	0.350709200	0.000558853	0.347328424	0.000626087	0.357081175	0.000622034	0.351401091	0.000746727	0.364085436	0.000783682	0.374579906	0.000759602	0.380633116	0.000953913	0.385893583	0.000942469	0.402514696	0.000939846	0.422305822	0.004177094	0.408129215	0.001092911	0.418651342	0.001023293	0.414051056	0.001125097	0.425721169	0.001256943	0.432107210	0.001226902	0.440839052	0.001819849	0.443305731	0.006062269	0.441061497	0.006087542	0.464820385	0.006702662	0.464382410	0.009008169	0.476607323	0.002130747	0.470578671	0.002218962	0.471848965	0.007447720	0.478490591	0.008466005	0.490424156	0.008697510	0.507766962	0.002461433	0.484948635	0.002487183	0.487715483	0.002580881	0.506978512	0.004266500	0.622794628	0.028944016	0.811095238	0.068141460	1.158319950	
0.000204086	0.013828993	0.000229597	0.013061523	0.000239372	0.016949415	0.000269651	0.018078089	0.000308037	0.020421743	0.000363111	0.023257732	0.000422239	0.026498318	0.000461340	0.029409170	0.000541210	0.032796383	0.000566483	0.036277771	0.000610352	0.039073944	0.000684261	0.042470932	0.000725746	0.045836687	0.000742912	0.048817158	0.000790358	0.051941156	0.000845909	0.055424929	0.000889540	0.058846712	0.000939369	0.062004805	0.000988245	0.059487820	0.001043320	0.066196680	0.001083612	0.068296671	0.001142263	0.070828199	0.001200438	0.078067780	0.001231194	0.081367254	0.001294613	0.084961891	0.001336575	0.087982655	0.001382113	0.091163874	0.001438141	0.093198299	0.001476288	0.094434023	0.001523495	0.101336002	0.001575947	0.100467920	0.001627207	0.103911638	0.003191710	0.192079782	0.006362915	0.375329971	0.012621880	0.888587236	
0.000118256	0.011774778	0.000197172	0.011857033	0.000226498	0.015318632	0.000254631	0.016309500	0.000312090	0.020910263	0.000386715	0.023133993	0.000413418	0.031429291	0.000456572	0.029590130	0.000509262	0.032887936	0.000564575	0.035849094	0.000606298	0.039485455	0.000645638	0.042485476	0.000701904	0.045895100	0.000741482	0.048974752	0.000790834	0.052055359	0.000844240	0.052786589	0.000895023	0.054736853	0.000944376	0.058573723	0.000988960	0.058132410	0.001036644	0.063400745	0.001084089	0.066749573	0.001133204	0.069554567	0.001182556	0.076961517	0.001229525	0.078656673	0.001290321	0.082171202	0.001328468	0.081684589	0.001382828	0.086961031	0.001433372	0.087527275	0.001509428	0.090693474	0.001526356	0.094979525	0.001595974	0.096789360	0.001640320	0.098975420	0.003204107	0.184801579	0.006339788	0.367279768	0.012641668	0.729316473	
0.000205994	0.011154175	0.000425816	0.020419836	0.000230789	0.014578819	0.000258923	0.016530037	0.000313759	0.020134926	0.000384808	0.023414612	0.000415564	0.026526690	0.000552416	0.029434681	0.000564098	0.032670498	0.000555038	0.035965681	0.000740767	0.039253950	0.000711918	0.040428162	0.000707150	0.044957638	0.000803709	0.047104359	0.000868082	0.048806190	0.000852585	0.051649332	0.000912666	0.054732800	0.001085043	0.057471752	0.001082182	0.058057308	0.001077890	0.063101530	0.001126766	0.066437960	0.001132727	0.067690134	0.003337145	0.072333813	0.001245737	0.075634956	0.001285553	0.078566551	0.001368999	0.081938982	0.001401424	0.084678411	0.004370213	0.086008549	0.001497746	0.087827682	0.001565695	0.093413830	0.001631737	0.092469454	0.001641512	0.095590115	0.008469820	0.187064409	0.006348133	0.365308762	0.012627363	0.732129335	
0.000151396	0.011259317	0.000153065	0.012963295	0.000214815	0.015843153	0.000260353	0.018188715	0.000316143	0.022848606	0.000400782	0.023718119	0.000419855	0.025659323	0.000467777	0.029331446	0.000519276	0.032755852	0.001824856	0.035363913	0.000619888	0.037213326	0.000656366	0.040070534	0.000727177	0.042856693	0.001816511	0.045580864	0.000905037	0.048873663	0.000904322	0.051402569	0.000921726	0.054668903	0.000962734	0.057662725	0.001098633	0.058153868	0.001059055	0.061336994	0.001103163	0.063292980	0.002408028	0.065916061	0.001301289	0.072216511	0.001272440	0.074901819	0.001290083	0.078393221	0.001343489	0.077537060	0.001416922	0.081490993	0.001530170	0.083406687	0.001487970	0.086215496	0.001702785	0.089071751	0.001622915	0.091934919	0.004829884	0.096529484	0.005876064	0.184759140	0.006336212	0.367515564	0.012597799	0.773662329	
0.000176668	0.010982990	0.000192881	0.012793303	0.000224352	0.015214205	0.000262499	0.017210484	0.000317335	0.020380497	0.000349045	0.021844864	0.001829386	0.024392605	0.000473261	0.029575825	0.000526190	0.032785177	0.000586987	0.033536434	0.000622988	0.036374569	0.000663757	0.039302111	0.000833035	0.042814732	0.000755310	0.045236588	0.000804424	0.048578739	0.002426386	0.050511837	0.000929594	0.052425623	0.003538132	0.054779530	0.001165390	0.057771921	0.001072407	0.060173988	0.001098394	0.063348055	0.001130342	0.065793753	0.001241207	0.068888426	0.001302481	0.071904659	0.001348734	0.074528694	0.001323462	0.076939106	0.001391411	0.080362320	0.001473904	0.083206654	0.001485825	0.086365461	0.001533985	0.088959694	0.001597643	0.091464758	0.001644373	0.094841480	0.003207922	0.185108662	0.006339073	0.365389824	0.012605190	0.729940891	
